bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,122.0,27.0,95.0,22.131147540983605,77.8688524590164,122.0,27.0,95.0,0.22622538751571009,31.986531986531986,31.760306599016275,0.28421052631578947
2.0,123.0,88.0,35.0,71.54471544715447,28.455284552845526,245.0,115.0,130.0,0.9635525764558023,43.77104377104377,42.80749119458797,0.8846153846153846
3.0,122.0,97.0,25.0,79.50819672131148,20.491803278688522,367.0,212.0,155.0,1.7762882279011312,52.18855218855219,50.41226396065105,1.367741935483871
4.0,122.0,116.0,6.0,95.08196721311475,4.918032786885249,489.0,328.0,161.0,2.7482195224130708,54.20875420875421,51.460534686341134,2.0372670807453415
5.0,123.0,114.0,9.0,92.6829268292683,7.317073170731703,612.0,442.0,170.0,3.7033933808127357,57.23905723905724,53.535663858244504,2.6
6.0,122.0,108.0,14.0,88.52459016393442,11.47540983606558,734.0,550.0,184.0,4.608294930875576,61.95286195286195,57.34456702198638,2.989130434782609
7.0,122.0,101.0,21.0,82.78688524590164,17.213114754098356,856.0,651.0,205.0,5.454545454545454,69.02356902356902,63.56902356902357,3.175609756097561
8.0,123.0,116.0,7.0,94.3089430894309,5.6910569105691025,979.0,767.0,212.0,6.426476749057394,71.38047138047138,64.95399463141398,3.6179245283018866
9.0,122.0,114.0,8.0,93.44262295081967,6.557377049180332,1101.0,881.0,220.0,7.381650607457059,74.07407407407408,66.69242346661702,4.004545454545455
10.0,122.0,115.0,7.0,94.26229508196721,5.73770491803279,1223.0,996.0,227.0,8.345203183912862,76.43097643097643,68.08577324706357,4.387665198237886
11.0,123.0,115.0,8.0,93.4959349593496,6.504065040650403,1346.0,1111.0,235.0,9.308755760368664,79.12457912457913,69.81582336421046,4.727659574468085
12.0,122.0,112.0,10.0,91.80327868852459,8.196721311475414,1468.0,1223.0,245.0,10.247172182656053,82.49158249158249,72.24441030892643,4.9918367346938775
13.0,122.0,116.0,6.0,95.08196721311475,4.918032786885249,1590.0,1339.0,251.0,11.219103477167993,84.51178451178451,73.29268103461652,5.334661354581673
14.0,122.0,118.0,4.0,96.72131147540983,3.278688524590166,1712.0,1457.0,255.0,12.207792207792208,85.85858585858585,73.65079365079364,5.713725490196079
15.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,1835.0,1579.0,256.0,13.229995810640972,86.1952861952862,72.96529038464523,6.16796875
16.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,1957.0,1699.0,258.0,14.23544197737746,86.86868686868686,72.6332448913094,6.5852713178294575
17.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,2079.0,1819.0,260.0,15.240888144113951,87.54208754208754,72.30119939797359,6.996153846153846
18.0,123.0,123.0,0.0,100.0,0.0,2202.0,1942.0,260.0,16.27147046501885,87.54208754208754,71.27061707706869,7.469230769230769
19.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,2324.0,2063.0,261.0,17.285295349811477,87.87878787878788,70.5934925289764,7.904214559386973
20.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,2446.0,2184.0,262.0,18.299120234604107,88.21548821548822,69.91636798088412,8.335877862595419
21.0,123.0,123.0,0.0,100.0,0.0,2569.0,2307.0,262.0,19.32970255550901,88.21548821548822,68.8857856599792,8.805343511450381
22.0,122.0,122.0,0.0,100.0,0.0,2691.0,2429.0,262.0,20.35190615835777,88.21548821548822,67.86358205713046,9.270992366412214
23.0,122.0,122.0,0.0,100.0,0.0,2813.0,2551.0,262.0,21.374109761206537,88.21548821548822,66.84137845428168,9.736641221374045
24.0,123.0,123.0,0.0,100.0,0.0,2936.0,2674.0,262.0,22.40469208211144,88.21548821548822,65.81079613337678,10.206106870229007
25.0,122.0,122.0,0.0,100.0,0.0,3058.0,2796.0,262.0,23.4268956849602,88.21548821548822,64.78859253052802,10.67175572519084
26.0,122.0,122.0,0.0,100.0,0.0,3180.0,2918.0,262.0,24.449099287808966,88.21548821548822,63.76638892767926,11.13740458015267
27.0,123.0,120.0,3.0,97.5609756097561,2.439024390243901,3303.0,3038.0,265.0,25.454545454545453,89.22558922558923,63.77104377104378,11.464150943396227
28.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,3425.0,3158.0,267.0,26.459991621281944,89.8989898989899,63.43899827770795,11.827715355805243
29.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,3547.0,3279.0,268.0,27.47381650607457,90.23569023569024,62.76187372961567,12.235074626865671
30.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,3670.0,3401.0,269.0,28.496020108923336,90.57239057239057,62.07637046346724,12.643122676579926
31.0,122.0,122.0,0.0,100.0,0.0,3792.0,3523.0,269.0,29.518223711772098,90.57239057239057,61.05416686061848,13.096654275092936
32.0,122.0,122.0,0.0,100.0,0.0,3914.0,3645.0,269.0,30.540427314620864,90.57239057239057,60.03196325776971,13.550185873605948
33.0,123.0,123.0,0.0,100.0,0.0,4037.0,3768.0,269.0,31.571009635525765,90.57239057239057,59.001380936864805,14.007434944237918
34.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,4159.0,3889.0,270.0,32.58483452031839,90.9090909090909,58.32425638877252,14.403703703703703
35.0,122.0,122.0,0.0,100.0,0.0,4281.0,4011.0,270.0,33.60703812316716,90.9090909090909,57.30205278592375,14.855555555555556
36.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,4404.0,4133.0,271.0,34.62924172601592,91.24579124579125,56.61654951977533,15.250922509225092
37.0,122.0,122.0,0.0,100.0,0.0,4526.0,4255.0,271.0,35.65144532886468,91.24579124579125,55.59434591692657,15.70110701107011
38.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,4648.0,4376.0,272.0,36.66527021365731,91.58249158249158,54.91722136883428,16.08823529411765
39.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,4770.0,4497.0,273.0,37.679095098449935,91.91919191919192,54.24009682074198,16.47252747252747
40.0,123.0,123.0,0.0,100.0,0.0,4893.0,4620.0,273.0,38.70967741935484,91.91919191919192,53.20951449983708,16.923076923076923
41.0,122.0,122.0,0.0,100.0,0.0,5015.0,4742.0,273.0,39.7318810222036,91.91919191919192,52.187310896988315,17.36996336996337
42.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,5137.0,4863.0,274.0,40.74570590699623,92.25589225589225,51.51018634889602,17.748175182481752
43.0,123.0,123.0,0.0,100.0,0.0,5260.0,4986.0,274.0,41.776288227901134,92.25589225589225,50.479604027991115,18.197080291970803
44.0,122.0,122.0,0.0,100.0,0.0,5382.0,5108.0,274.0,42.798491830749896,92.25589225589225,49.45740042514235,18.642335766423358
45.0,122.0,122.0,0.0,100.0,0.0,5504.0,5230.0,274.0,43.82069543359866,92.25589225589225,48.43519682229359,19.087591240875913
46.0,123.0,123.0,0.0,100.0,0.0,5627.0,5353.0,274.0,44.85127775450356,92.25589225589225,47.404614501388686,19.536496350364963
47.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,5749.0,5473.0,276.0,45.856723921240054,92.92929292929293,47.072569008052874,19.829710144927535
48.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,5871.0,5594.0,277.0,46.87054880603268,93.26599326599326,46.39544445996058,20.19494584837545
49.0,123.0,123.0,0.0,100.0,0.0,5994.0,5717.0,277.0,47.90113112693758,93.26599326599326,45.36486213905568,20.63898916967509
50.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6116.0,5838.0,278.0,48.914956011730204,93.6026936026936,44.6877375909634,21.0
51.0,122.0,122.0,0.0,100.0,0.0,6238.0,5960.0,278.0,49.93715961457897,93.6026936026936,43.66553398811464,21.43884892086331
52.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,6361.0,6082.0,279.0,50.959363217427736,93.93939393939394,42.9800307219662,21.799283154121863
53.0,122.0,122.0,0.0,100.0,0.0,6483.0,6204.0,279.0,51.9815668202765,93.93939393939394,41.95782711911744,22.236559139784948
54.0,122.0,122.0,0.0,100.0,0.0,6605.0,6326.0,279.0,53.00377042312526,93.93939393939394,40.93562351626868,22.67383512544803
55.0,123.0,123.0,0.0,100.0,0.0,6728.0,6449.0,279.0,54.034352744030166,93.93939393939394,39.90504119536377,23.114695340501793
56.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6850.0,6570.0,280.0,55.04817762882279,94.27609427609427,39.22791664727148,23.464285714285715
57.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6972.0,6691.0,281.0,56.06200251361542,94.61279461279462,38.5507920991792,23.81138790035587
58.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,7095.0,6813.0,282.0,57.08420611646418,94.94949494949495,37.86528883303077,24.159574468085108
59.0,122.0,122.0,0.0,100.0,0.0,7217.0,6935.0,282.0,58.10640971931294,94.94949494949495,36.843085230182005,24.592198581560282
60.0,122.0,122.0,0.0,100.0,0.0,7339.0,7057.0,282.0,59.12861332216171,94.94949494949495,35.820881627333236,25.02482269503546
61.0,123.0,123.0,0.0,100.0,0.0,7462.0,7180.0,282.0,60.15919564306661,94.94949494949495,34.79029930642834,25.46099290780142
62.0,122.0,122.0,0.0,100.0,0.0,7584.0,7302.0,282.0,61.18139924591537,94.94949494949495,33.768095703579576,25.893617021276597
63.0,122.0,122.0,0.0,100.0,0.0,7706.0,7424.0,282.0,62.20360284876414,94.94949494949495,32.745892100730806,26.326241134751772
64.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,7828.0,7544.0,284.0,63.209049015500625,95.62289562289563,32.413846607395,26.56338028169014
65.0,123.0,123.0,0.0,100.0,0.0,7951.0,7667.0,284.0,64.23963133640552,95.62289562289563,31.383264286490103,26.996478873239436
66.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,8073.0,7788.0,285.0,65.25345622119816,95.95959595959596,30.706139738397795,27.326315789473686
67.0,122.0,119.0,3.0,97.54098360655738,2.4590163934426243,8195.0,7907.0,288.0,66.2505236698785,96.96969696969697,30.719173299818465,27.45486111111111
68.0,123.0,123.0,0.0,100.0,0.0,8318.0,8030.0,288.0,67.28110599078342,96.96969696969697,29.688590978913552,27.881944444444443
69.0,122.0,122.0,0.0,100.0,0.0,8440.0,8152.0,288.0,68.30330959363218,96.96969696969697,28.66638737606479,28.305555555555557
70.0,122.0,122.0,0.0,100.0,0.0,8562.0,8274.0,288.0,69.32551319648094,96.96969696969697,27.644183773216028,28.729166666666668
71.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,8685.0,8396.0,289.0,70.3477167993297,97.3063973063973,26.958680507067598,29.05190311418685
72.0,122.0,119.0,3.0,97.54098360655738,2.4590163934426243,8807.0,8515.0,292.0,71.34478424801006,98.31649831649831,26.971714068488254,29.160958904109588
73.0,122.0,122.0,0.0,100.0,0.0,8929.0,8637.0,292.0,72.36698785085882,98.31649831649831,25.94951046563949,29.578767123287673
74.0,123.0,123.0,0.0,100.0,0.0,9052.0,8760.0,292.0,73.39757017176372,98.31649831649831,24.918928144734593,30.0
75.0,122.0,122.0,0.0,100.0,0.0,9174.0,8882.0,292.0,74.41977377461248,98.31649831649831,23.89672454188583,30.41780821917808
76.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,9296.0,9003.0,293.0,75.4335986594051,98.65319865319866,23.21959999379355,30.726962457337883
77.0,123.0,123.0,0.0,100.0,0.0,9419.0,9126.0,293.0,76.46418098031002,98.65319865319866,22.18901767288864,31.146757679180887
78.0,122.0,122.0,0.0,100.0,0.0,9541.0,9248.0,293.0,77.48638458315878,98.65319865319866,21.166814070039877,31.563139931740615
79.0,122.0,122.0,0.0,100.0,0.0,9663.0,9370.0,293.0,78.50858818600754,98.65319865319866,20.144610467191114,31.97952218430034
80.0,123.0,123.0,0.0,100.0,0.0,9786.0,9493.0,293.0,79.53917050691244,98.65319865319866,19.114028146286216,32.399317406143346
81.0,122.0,122.0,0.0,100.0,0.0,9908.0,9615.0,293.0,80.5613741097612,98.65319865319866,18.091824543437454,32.815699658703075
82.0,122.0,122.0,0.0,100.0,0.0,10030.0,9737.0,293.0,81.58357771260997,98.65319865319866,17.069620940588692,33.232081911262796
83.0,123.0,123.0,0.0,100.0,0.0,10153.0,9860.0,293.0,82.61416003351488,98.65319865319866,16.03903861968378,33.6518771331058
84.0,122.0,122.0,0.0,100.0,0.0,10275.0,9982.0,293.0,83.63636363636364,98.65319865319866,15.016835016835017,34.06825938566553
85.0,122.0,122.0,0.0,100.0,0.0,10397.0,10104.0,293.0,84.6585672392124,98.65319865319866,13.994631413986255,34.484641638225256
86.0,123.0,123.0,0.0,100.0,0.0,10520.0,10227.0,293.0,85.6891495601173,98.65319865319866,12.964049093081357,34.90443686006826
87.0,122.0,122.0,0.0,100.0,0.0,10642.0,10349.0,293.0,86.71135316296606,98.65319865319866,11.941845490232595,35.32081911262799
88.0,122.0,122.0,0.0,100.0,0.0,10764.0,10471.0,293.0,87.73355676581482,98.65319865319866,10.919641887383833,35.737201365187715
89.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,10886.0,10592.0,294.0,88.74738165060745,98.98989898989899,10.242517339291538,36.02721088435374
90.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,11009.0,10714.0,295.0,89.76958525345623,99.32659932659932,9.557014073143094,36.31864406779661
91.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,11131.0,10835.0,296.0,90.78341013824885,99.66329966329967,8.879889525050814,36.604729729729726
92.0,122.0,122.0,0.0,100.0,0.0,11253.0,10957.0,296.0,91.80561374109762,99.66329966329967,7.857685922202052,37.016891891891895
93.0,123.0,123.0,0.0,100.0,0.0,11376.0,11080.0,296.0,92.83619606200251,99.66329966329967,6.8271036012971535,37.432432432432435
94.0,122.0,122.0,0.0,100.0,0.0,11498.0,11202.0,296.0,93.85839966485128,99.66329966329967,5.804899998448391,37.8445945945946
95.0,122.0,122.0,0.0,100.0,0.0,11620.0,11324.0,296.0,94.88060326770004,99.66329966329967,4.782696395599629,38.25675675675676
96.0,123.0,123.0,0.0,100.0,0.0,11743.0,11447.0,296.0,95.91118558860494,99.66329966329967,3.752114074694731,38.6722972972973
97.0,122.0,122.0,0.0,100.0,0.0,11865.0,11569.0,296.0,96.93338919145371,99.66329966329967,2.7299104718459546,39.08445945945946
98.0,122.0,122.0,0.0,100.0,0.0,11987.0,11691.0,296.0,97.95559279430248,99.66329966329967,1.7077068689971924,39.49662162162162
99.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,12110.0,11813.0,297.0,98.97779639715124,100.0,1.0222036028487622,39.774410774410775
100.0,122.0,122.0,0.0,100.0,0.0,12232.0,11935.0,297.0,100.0,100.0,0.0,40.18518518518518
